Song Name,Artist Name,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Loudness,Liveness,Speechiness,Time_signature,Key,Valence,Tempo,Mode,Target,URL,Image
Numb,Linkin Park,0.0046,0.496,185587,0.863,0.0,-4.153,0.639,0.0381,4,9,0.243,110.018,1,1,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h,https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193
Thunder,Imagine Dragons,0.00671,0.605,187147,0.822,0.134,-4.833,0.147,0.0438,4,0,0.288,167.997,1,1,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
Toxic,BoyWithUke,0.835,0.594,168020,0.612,0.0,-6.627,0.461,0.363,4,8,0.687,179.629,0,1,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v,https://i.scdn.co/image/ab67616d0000b27382a18aa0d3374049c6b78f6a
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.237,0.728,173381,0.783,0.0,-4.424,0.434,0.266,4,11,0.555,77.011,0,1,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,https://i.scdn.co/image/ab67616d0000b273aa597e50829169e6994eb403
Burn It All Down,League of Legends,0.000629,0.553,201840,0.694,4.56e-06,-6.561,0.121,0.0603,4,9,0.231,145.149,0,1,https://open.spotify.com/track/0ked784BOZ1JtRVHux98jE,https://i.scdn.co/image/ab67616d0000b27362b4ad8a3803bfb2f2d28f41
Wake Up in the Sky,Gucci Mane,0.00381,0.8,204665,0.578,0.0,-5.144,0.359,0.0485,4,4,0.367,143.01,0,1,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq,https://i.scdn.co/image/ab67616d0000b273b64fc7036d0fccef26f9f7e8
Can You Feel My Heart,Bring Me The Horizon,0.00201,0.15,228147,0.859,0.194,-2.827,0.387,0.0595,5,4,0.354,170.527,0,1,https://open.spotify.com/track/0WSa1sucoNRcEeULlZVQXj,https://i.scdn.co/image/ab67616d0000b27360cf7c8dd93815ccd6cb4830
MIDDLE OF THE NIGHT - HARDSTYLE REMIX,SICK LEGEND,0.000118,0.292,175147,0.692,0.000354,-7.198,0.382,0.0376,3,2,0.0544,185.467,1,1,https://open.spotify.com/track/28YfzakcUF9v5dRsOKlWjK,https://i.scdn.co/image/ab67616d0000b27353bb4d1e163100426bd63129
Best of Me,NEFFEX,0.0051,0.657,227200,0.842,2.77e-06,-5.26,0.223,0.068,4,0,0.594,74.995,1,1,https://open.spotify.com/track/7zv0i1f8kTy8hPapkm28kz,https://i.scdn.co/image/ab67616d0000b273224b47955653be1c65fe7ae2
Fearless,Lost Sky,0.302,0.669,194284,0.937,0.783,-4.325,0.118,0.0397,4,6,0.344,110.008,1,1,https://open.spotify.com/track/7xkCeK3qzCyf43cF8yN7Xt,https://i.scdn.co/image/ab67616d0000b2738f208da1d85cc65218b054fe
Feel Something (With I Prevail),ILLENIUM,0.00153,0.428,221000,0.877,0.00372,-4.722,0.0943,0.0835,4,5,0.113,75.518,0,1,https://open.spotify.com/track/5dAtKXyrQoQW054LZqJ5dP,https://i.scdn.co/image/ab67616d0000b273944e4be7729f7d5233cd0348
Fearless Pt. II,Lost Sky,0.282,0.729,194182,0.928,0.00147,-4.279,0.12,0.0515,4,6,0.322,109.996,1,1,https://open.spotify.com/track/4VZH6OfxPy1nNE7KbtVKyK,https://i.scdn.co/image/ab67616d0000b2733be40769b1c2361cea9f0843
Maps,Maroon 5,0.0205,0.742,189960,0.713,0.0,-5.522,0.059,0.0303,4,1,0.879,120.032,0,1,https://open.spotify.com/track/7oUHzZKNKUTrlU7DYxhQ7v,https://i.scdn.co/image/ab67616d0000b27337677af5b4f23fe9dc8a3c04
Animals,Maroon 5,0.000185,0.279,231013,0.742,0.0,-6.46,0.593,0.0898,4,4,0.328,189.868,0,1,https://open.spotify.com/track/3h4T9Bg8OVSUYa6danHeH5,https://i.scdn.co/image/ab67616d0000b27337677af5b4f23fe9dc8a3c04
